participant_id,Days_Physically_Active_60min,Hours_TV_Videos_Per_Day,participant_id_outlier,Days_Physically_Active_60min_outlier,Hours_TV_Videos_Per_Day_outlier
132880.0,1.0,2.0,False,False,False
132882.0,,1.0,False,False,False
132886.0,4.0,3.0,False,False,False
132887.0,,4.0,False,False,False
132888.0,,2.0,False,False,False
132890.0,,2.0,False,False,False
132894.0,5.0,2.0,False,False,False
132897.0,,1.0,False,False,False
132915.0,,3.0,False,False,False
132917.0,2.0,,False,False,False
132919.0,5.397605346934028e-79,3.0,False,False,False
132923.0,4.0,3.0,False,False,False
132925.0,5.397605346934028e-79,,False,False,False
132935.0,5.0,1.0,False,False,False
132940.0,,2.0,False,False,False
132949.0,3.0,8.0,False,False,False
132951.0,,3.0,False,False,False
132954.0,5.397605346934028e-79,5.0,False,False,False
132966.0,6.0,4.0,False,False,False
132967.0,,2.0,False,False,False
132968.0,6.0,1.0,False,False,False
132969.0,,3.0,False,False,False
132974.0,4.0,5.0,False,False,False
132975.0,5.0,1.0,False,False,False
132981.0,5.0,3.0,False,False,False
132987.0,5.0,3.0,False,False,False
132988.0,3.0,8.0,False,False,False
132989.0,5.0,5.397605346934028e-79,False,False,False
132997.0,,2.0,False,False,False
132999.0,,2.0,False,False,False
133000.0,5.0,1.0,False,False,False
133006.0,,3.0,False,False,False
133007.0,4.0,5.0,False,False,False
133008.0,,2.0,False,False,False
133011.0,5.0,1.0,False,False,False
133016.0,,2.0,False,False,False
133026.0,6.0,,False,False,False
133034.0,4.0,5.0,False,False,False
133037.0,,5.397605346934028e-79,False,False,False
133043.0,3.0,1.0,False,False,False
133045.0,5.0,2.0,False,False,False
133052.0,,2.0,False,False,False
133061.0,5.0,2.0,False,False,False
133062.0,,,False,False,False
133063.0,4.0,1.0,False,False,False
133067.0,5.397605346934028e-79,3.0,False,False,False
133070.0,3.0,4.0,False,False,False
133072.0,,2.0,False,False,False
133073.0,5.0,2.0,False,False,False
133075.0,2.0,2.0,False,False,False
133079.0,6.0,5.0,False,False,False
133088.0,3.0,3.0,False,False,False
